사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2022-03,경부선,1715,세류,341,0,3121 ,729,6427 ,2134 ,13274 ,3618 ,8592 ,3761 ,4412 ,2273 ,3381 ,2128 ,3222 ,2200 ,3423 ,2511 ,3017 ,2624 ,2546 ,2770 ,2885 ,3340 ,3914 ,4106 ,4894 ,5498 ,4779 ,10229 ,2744 ,7790 ,2063 ,4656 ,1653 ,4197 ,1107 ,3483 ,427,2041 ,2,659,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경부선,1716,병점,2798 ,34,6506 ,2441 ,22780 ,8861 ,50489 ,19740 ,37958 ,25836 ,23387 ,14067 ,19014 ,10507 ,19507 ,12661 ,20312 ,14865 ,17585 ,15330 ,16505 ,16658 ,18307 ,18852 ,22590 ,24691 ,27886 ,34701 ,28383 ,44295 ,15876 ,38493 ,11468 ,26537 ,10169 ,20729 ,7114 ,19517 ,2073 ,13175 ,17,4916 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경부선,1717,세마,294,2,1803 ,387,4771 ,1318 ,9589 ,3638 ,7791 ,8110 ,4923 ,2146 ,3498 ,1423 ,3185 ,1977 ,3339 ,2291 ,3367 ,2627 ,2947 ,2825 ,3105 ,2921 ,3940 ,4546 ,5339 ,6549 ,6655 ,6773 ,2588 ,7165 ,1714 ,4045 ,1578 ,3914 ,932,2861 ,441,1947 ,41,106,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경부선,1718,오산대,159,1,2544 ,1141 ,5467 ,2077 ,11887 ,3598 ,8689 ,11047 ,5176 ,4235 ,3959 ,3972 ,4190 ,3049 ,4623 ,3375 ,5125 ,4328 ,4894 ,3668 ,6282 ,3068 ,7656 ,4770 ,7602 ,7088 ,7851 ,10670 ,3333 ,8347 ,2597 ,4639 ,2395 ,4668 ,1592 ,3069 ,833,2115 ,72,139,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경부선,1719,오산,237,1,5950 ,1925 ,13323 ,8240 ,24019 ,25638 ,21920 ,20175 ,14807 ,11830 ,12685 ,8483 ,13437 ,8972 ,14795 ,10893 ,13373 ,12053 ,12816 ,11998 ,13308 ,14117 ,18571 ,17900 ,23689 ,21099 ,24570 ,27325 ,12620 ,21110 ,11119 ,15848 ,7536 ,12662 ,3919 ,8043 ,1880 ,5860 ,85,451,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경부선,1720,진위,7,0,730,214,1576 ,2229 ,2887 ,7490 ,2506 ,8313 ,1586 ,1652 ,1301 ,978,1327 ,973,1494 ,877,1410 ,990,1383 ,929,2196 ,1049 ,3376 ,1479 ,5917 ,1732 ,8743 ,2195 ,2667 ,2160 ,1895 ,1199 ,1042 ,1223 ,437,904,205,661,10,36,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경부선,1721,송탄,79,4,4861 ,757,7633 ,2922 ,13170 ,5065 ,10768 ,7561 ,7610 ,3650 ,6467 ,3338 ,6889 ,3550 ,6647 ,4812 ,6200 ,4603 ,5468 ,5219 ,6109 ,6049 ,8043 ,7489 ,8364 ,10499 ,9064 ,11634 ,4755 ,12718 ,3313 ,8068 ,3079 ,7045 ,1655 ,6437 ,842,5282 ,63,525,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경부선,1722,서정리,40,2,3176 ,3984 ,8401 ,6956 ,14648 ,12510 ,13654 ,17610 ,9844 ,9282 ,9044 ,6321 ,9434 ,5583 ,10684 ,8321 ,9284 ,8806 ,9708 ,7531 ,10997 ,9009 ,15729 ,12145 ,23830 ,15326 ,17323 ,13592 ,9926 ,14955 ,8051 ,10023 ,5512 ,7947 ,2684 ,7938 ,1063 ,6000 ,27,668,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경부선,1723,평택지제,5,0,1283 ,5415 ,2973 ,8873 ,8837 ,11453 ,6407 ,6699 ,4389 ,3635 ,3485 ,2012 ,3386 ,2582 ,4420 ,3003 ,3109 ,2944 ,3739 ,3185 ,5400 ,3674 ,6282 ,4279 ,11011 ,5320 ,9075 ,7055 ,6929 ,5399 ,3967 ,4212 ,3920 ,3651 ,3026 ,2847 ,1055 ,1874 ,0,164,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경부선,1724,평택,131,0,6277 ,2125 ,11800 ,7140 ,27562 ,13655 ,25219 ,23963 ,20154 ,20726 ,17743 ,14215 ,17432 ,17186 ,19694 ,19156 ,19123 ,19670 ,17548 ,22128 ,20126 ,21286 ,24090 ,25778 ,28798 ,33098 ,27278 ,35134 ,18186 ,22817 ,18151 ,16661 ,11689 ,12786 ,9489 ,9972 ,4897 ,6554 ,33,1430 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경부선,1725,성환,44,1,1445 ,406,2853 ,2043 ,5466 ,10522 ,5638 ,15264 ,5143 ,13891 ,5172 ,4805 ,6287 ,5349 ,8749 ,9357 ,9444 ,10955 ,7766 ,5005 ,10207 ,5374 ,15027 ,5778 ,16121 ,6970 ,12284 ,6722 ,4594 ,5455 ,4073 ,4477 ,2718 ,4159 ,1520 ,3260 ,645,2226 ,50,573,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경부선,1726,직산,15,0,411,259,1208 ,953,1480 ,2478 ,1499 ,2877 ,1040 ,960,928,792,1004 ,777,974,892,1002 ,875,871,844,1141 ,885,1088 ,958,2841 ,1255 ,2820 ,1373 ,1079 ,1450 ,751,806,463,892,251,540,125,621,29,96,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경부선,1727,두정,998,10,3319 ,593,7359 ,2146 ,13961 ,8862 ,11804 ,20634 ,9068 ,16867 ,7704 ,13824 ,9972 ,11427 ,11918 ,14218 ,12141 ,11215 ,11017 ,10005 ,14113 ,7796 ,15205 ,11487 ,18082 ,13880 ,15917 ,18809 ,8838 ,11628 ,6679 ,9429 ,5826 ,6566 ,4196 ,5887 ,2197 ,5568 ,25,1406 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경부선,1728,천안,1417 ,5,2081 ,538,4653 ,2485 ,9351 ,5040 ,8080 ,14812 ,10046 ,12417 ,7612 ,10986 ,10255 ,11650 ,10804 ,11742 ,11455 ,11135 ,12578 ,10146 ,16878 ,11218 ,17260 ,10626 ,16920 ,15094 ,14934 ,14783 ,9017 ,9645 ,6843 ,7307 ,4926 ,4764 ,2663 ,3342 ,1432 ,3002 ,7,1114 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경부선,1729,당정,9,1,3070 ,772,9306 ,2480 ,23218 ,8894 ,21701 ,14989 ,10410 ,5598 ,7072 ,3732 ,7011 ,4054 ,7829 ,5478 ,6939 ,5508 ,5893 ,5447 ,6932 ,5893 ,7215 ,7856 ,10887 ,11361 ,13113 ,19228 ,5557 ,15837 ,3712 ,10693 ,3163 ,8157 ,2676 ,8045 ,984,5161 ,10,134,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경부선,1749,서동탄,0,0,996,10,3807 ,583,8973 ,1506 ,3024 ,1453 ,2202 ,696,1245 ,590,1375 ,1095 ,1253 ,863,1186 ,936,1035 ,1071 ,1458 ,1508 ,1329 ,1594 ,1501 ,2287 ,2058 ,3731 ,814,5340 ,688,2102 ,465,1459 ,343,1768 ,36,1244 ,8,801,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경부선,1750,광명,0,0,17,978,2475 ,2190 ,9924 ,5557 ,8762 ,5868 ,4439 ,4401 ,2807 ,2895 ,4679 ,1908 ,3460 ,5472 ,3275 ,92,2854 ,5205 ,5923 ,2810 ,2423 ,3825 ,6547 ,4845 ,8173 ,9946 ,7155 ,5747 ,4454 ,2784 ,2552 ,4119 ,1458 ,1855 ,515,18,0,0,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경인선,1801,개봉,1138 ,4,16220 ,4732 ,32592 ,11960 ,81745 ,13477 ,75366 ,21104 ,42907 ,15994 ,29276 ,13737 ,27278 ,15726 ,27801 ,19525 ,25794 ,19705 ,22843 ,23219 ,22018 ,27945 ,24999 ,35423 ,27445 ,48627 ,26478 ,74210 ,15012 ,56797 ,11015 ,33120 ,9041 ,31327 ,6927 ,25879 ,2397 ,14389 ,22,885,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경인선,1802,오류동,414,4,11021 ,1835 ,17007 ,4907 ,45713 ,5951 ,46196 ,10563 ,24265 ,9532 ,17378 ,9064 ,16094 ,8987 ,17786 ,10484 ,15957 ,11928 ,13084 ,13035 ,13408 ,16385 ,13866 ,19199 ,14305 ,25788 ,12770 ,39343 ,7036 ,33794 ,5542 ,18867 ,4325 ,17380 ,3510 ,14383 ,1205 ,9001 ,6,465,1,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경인선,1803,역곡,768,6,26488 ,3300 ,39759 ,9441 ,106023 ,12596 ,101477 ,30226 ,54078 ,26324 ,34238 ,20738 ,31547 ,22563 ,33498 ,26803 ,32005 ,26379 ,27717 ,28691 ,27888 ,31390 ,32723 ,47065 ,36460 ,62861 ,34390 ,97880 ,20444 ,85181 ,15489 ,46399 ,13658 ,40207 ,11550 ,35028 ,4416 ,22634 ,7,471,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경인선,1804,부천,2064 ,19,33364 ,4420 ,38734 ,12051 ,94045 ,16486 ,93052 ,39779 ,52824 ,35039 ,37989 ,31536 ,39055 ,32927 ,42835 ,41275 ,41964 ,45421 ,40179 ,45087 ,42392 ,47199 ,46992 ,56778 ,50040 ,76887 ,51355 ,112315 ,32970 ,87746 ,26676 ,45804 ,26139 ,41537 ,23231 ,33204 ,11245 ,23881 ,17,745,1,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경인선,1805,송내,1390 ,2,13570 ,7684 ,33078 ,15070 ,94604 ,24683 ,78061 ,67004 ,42364 ,35884 ,29613 ,19705 ,30425 ,19532 ,31866 ,22143 ,28511 ,23529 ,25611 ,24143 ,27884 ,25646 ,33027 ,33998 ,40480 ,50357 ,61435 ,80456 ,25684 ,71811 ,18030 ,39110 ,14571 ,33826 ,12579 ,29707 ,5341 ,19088 ,40,454,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경인선,1806,부평,6646 ,31,18068 ,4953 ,32173 ,11818 ,73605 ,17483 ,68446 ,30925 ,39545 ,33388 ,31441 ,29409 ,33247 ,32762 ,36697 ,39226 ,36408 ,46731 ,36722 ,46614 ,40002 ,47423 ,45849 ,61229 ,51178 ,75517 ,47175 ,106126 ,36036 ,84626 ,32172 ,43893 ,33544 ,35193 ,32017 ,29359 ,22396 ,20498 ,189,2428 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경인선,1807,백운,59,1,7246 ,1646 ,12467 ,4148 ,25756 ,4154 ,21348 ,8465 ,12582 ,5262 ,9831 ,5105 ,9842 ,5906 ,9537 ,6956 ,8637 ,7366 ,7458 ,7239 ,7986 ,9374 ,9215 ,12306 ,9870 ,14675 ,7738 ,21333 ,4009 ,20052 ,3197 ,11140 ,2789 ,10014 ,1820 ,8557 ,907,6568 ,29,621,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경인선,1808,동암,411,8,16580 ,3159 ,25045 ,7553 ,47566 ,12873 ,44451 ,15785 ,25390 ,11893 ,20177 ,11612 ,18590 ,13828 ,19557 ,14056 ,18848 ,16214 ,16522 ,15361 ,16335 ,20501 ,18673 ,25633 ,20863 ,34519 ,20229 ,45954 ,11543 ,40405 ,9300 ,25377 ,8114 ,22850 ,6759 ,19902 ,3204 ,12883 ,73,1560 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경인선,1809,주안,836,19,11915 ,4158 ,23282 ,8383 ,56573 ,15533 ,47429 ,28734 ,29944 ,21588 ,23435 ,14771 ,23680 ,15107 ,26967 ,19673 ,25581 ,17426 ,22643 ,20876 ,26584 ,20746 ,29202 ,27863 ,34108 ,34054 ,34336 ,50425 ,19126 ,49189 ,15628 ,27822 ,15133 ,23674 ,12831 ,19765 ,6188 ,16753 ,121,2935 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경인선,1810,제물포,703,12,6899 ,1582 ,14181 ,4062 ,35067 ,12256 ,29615 ,26262 ,15377 ,12801 ,13176 ,8515 ,13280 ,7536 ,14108 ,10172 ,13485 ,10705 ,12100 ,9820 ,14403 ,11462 ,19054 ,14165 ,18442 ,18890 ,20486 ,27021 ,8365 ,25651 ,5862 ,15385 ,4910 ,13909 ,3536 ,12192 ,1372 ,9290 ,25,2009 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경인선,1811,동인천,1432 ,4,6032 ,2171 ,14309 ,10994 ,35024 ,20857 ,26727 ,30567 ,17247 ,13976 ,15290 ,15693 ,17258 ,17989 ,18536 ,17045 ,18645 ,19051 ,18786 ,18321 ,21563 ,17573 ,26276 ,20550 ,33743 ,22705 ,38188 ,28848 ,15408 ,27690 ,10404 ,16256 ,8352 ,12667 ,5697 ,12000 ,2003 ,8173 ,13,2304 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경인선,1812,인천,178,28,863,909,2781 ,3768 ,5124 ,5949 ,4200 ,7411 ,2723 ,3771 ,2594 ,4136 ,3432 ,5916 ,4512 ,6725 ,5698 ,6220 ,6901 ,5944 ,8278 ,4837 ,10607 ,4154 ,11696 ,3187 ,10889 ,2851 ,4987 ,2159 ,3876 ,1540 ,2457 ,1252 ,1355 ,945,317,817,12,687,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경인선,1813,구일,313,9,3418 ,1111 ,8643 ,3050 ,22962 ,8242 ,20598 ,10179 ,10927 ,5355 ,7940 ,4009 ,7545 ,4015 ,8046 ,5216 ,7326 ,6274 ,6488 ,6465 ,7994 ,8211 ,9153 ,9525 ,8978 ,12172 ,10034 ,21354 ,4162 ,16962 ,3032 ,9416 ,2559 ,8309 ,2104 ,6867 ,756,4465 ,12,205,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경인선,1814,소사,776,12,14646 ,2432 ,14136 ,5032 ,29831 ,6894 ,26114 ,11127 ,16913 ,8483 ,13099 ,7813 ,12061 ,8085 ,12270 ,10868 ,11215 ,9694 ,10375 ,9846 ,10502 ,10989 ,11762 ,14552 ,12719 ,18740 ,10605 ,26350 ,5935 ,21189 ,4246 ,12890 ,3480 ,12588 ,2623 ,10350 ,917,8204 ,6,196,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경인선,1815,부개,1706 ,4,8245 ,1905 ,14431 ,3820 ,35116 ,5724 ,28768 ,10299 ,15694 ,5717 ,11695 ,5108 ,11005 ,6554 ,10893 ,7529 ,10623 ,8353 ,8991 ,8852 ,8590 ,10538 ,10999 ,14278 ,9957 ,18847 ,10320 ,26131 ,5411 ,23081 ,3408 ,13260 ,2968 ,11924 ,2272 ,9849 ,1139 ,7470 ,9,240,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경인선,1816,간석,238,1,4497 ,911,9603 ,2392 ,20926 ,4036 ,17811 ,8509 ,9989 ,5029 ,7824 ,4330 ,7607 ,5173 ,8011 ,5591 ,7531 ,6193 ,6763 ,6461 ,6923 ,7681 ,8457 ,9470 ,7726 ,12431 ,8363 ,16801 ,4260 ,15773 ,3159 ,8441 ,2833 ,7271 ,2109 ,6572 ,1241 ,5192 ,50,679,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경인선,1817,도원,442,19,1897 ,684,2489 ,2058 ,5505 ,5193 ,5139 ,16044 ,3694 ,3454 ,3371 ,3215 ,3728 ,3153 ,4170 ,3084 ,3786 ,3824 ,3520 ,3437 ,5839 ,3821 ,10906 ,4387 ,6902 ,4726 ,7034 ,4941 ,2213 ,4184 ,1736 ,2556 ,2078 ,2266 ,748,1573 ,234,1702 ,19,547,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경인선,1821,온수(성공회대입구),143,1,5250 ,1192 ,8141 ,3098 ,20355 ,9653 ,19665 ,11752 ,11788 ,5714 ,8944 ,5373 ,8662 ,5313 ,9651 ,6854 ,9516 ,6907 ,8273 ,7241 ,9457 ,8581 ,12531 ,9639 ,10473 ,13459 ,9640 ,18893 ,5403 ,16379 ,3735 ,9292 ,3641 ,8512 ,2551 ,7733 ,1100 ,5108 ,13,341,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경인선,1822,중동,826,19,9643 ,1029 ,15381 ,3143 ,40954 ,5423 ,30923 ,12568 ,16471 ,7011 ,11913 ,6935 ,11478 ,7736 ,12340 ,8780 ,11319 ,9061 ,10000 ,10120 ,9577 ,11120 ,10762 ,14684 ,10839 ,19154 ,11602 ,29195 ,5899 ,27018 ,4573 ,14810 ,3797 ,12377 ,2551 ,10563 ,1100 ,8184 ,7,282,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경인선,1823,도화,301,2,3882 ,593,6293 ,1586 ,16105 ,3659 ,12569 ,6133 ,7494 ,3413 ,5975 ,3326 ,5832 ,3531 ,5737 ,4459 ,5508 ,4469 ,4979 ,5153 ,5042 ,5720 ,5709 ,7443 ,5802 ,8309 ,5660 ,10487 ,2756 ,10244 ,2049 ,5726 ,1667 ,4865 ,1154 ,3644 ,506,3874 ,12,897,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경원선,1008,이촌(국립중앙박물관),68,0,736,501,2919 ,2192 ,6541 ,3903 ,7567 ,7202 ,5931 ,4280 ,4578 ,2883 ,4539 ,2843 ,4916 ,2934 ,5246 ,3596 ,4826 ,3351 ,5560 ,3755 ,7283 ,4410 ,7926 ,5012 ,8496 ,6870 ,4158 ,4969 ,3304 ,3422 ,2862 ,3163 ,1625 ,3002 ,485,1939 ,3,112,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경원선,1009,서빙고,31,2,869,592,1931 ,2305 ,2617 ,4151 ,2567 ,7539 ,2527 ,2896 ,2129 ,2096 ,1971 ,1703 ,2352 ,1935 ,2669 ,2511 ,2471 ,2482 ,3326 ,2866 ,4552 ,2649 ,6405 ,2405 ,5944 ,3146 ,2404 ,2093 ,1520 ,1445 ,1327 ,1423 ,887,1270 ,215,864,2,41,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경원선,1010,한남,121,3,1523 ,650,2400 ,4226 ,4143 ,9409 ,4685 ,12274 ,4068 ,10277 ,4067 ,4747 ,4069 ,3918 ,4385 ,4240 ,4364 ,4512 ,4807 ,3989 ,6037 ,4438 ,7636 ,5014 ,12519 ,6011 ,13013 ,6092 ,6176 ,5191 ,4244 ,2259 ,3932 ,2697 ,4006 ,2026 ,1708 ,1420 ,9,61,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경원선,1011,옥수,0,0,0,27,2,112,25,19,77,179,57,6,22,125,10,132,4,50,17,20,38,9,27,19,300,33,273,57,35,14,333,13,47,4,34,18,9,2,4,0,0,0,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경원선,1012,응봉,107,0,1166 ,231,2612 ,1247 ,6233 ,1724 ,6081 ,2045 ,4096 ,1569 ,2692 ,1786 ,2482 ,1754 ,2606 ,1845 ,2539 ,2182 ,2439 ,2448 ,2542 ,2386 ,2943 ,3177 ,2763 ,3816 ,2663 ,4728 ,1494 ,4112 ,1075 ,2268 ,700,1695 ,681,2169 ,247,1160 ,2,60,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경원선,1013,왕십리(성동구청),732,2,4430 ,951,7247 ,5537 ,21662 ,11037 ,34983 ,19886 ,22797 ,16761 ,13367 ,15979 ,13961 ,15637 ,16808 ,18688 ,19136 ,20646 ,18272 ,19850 ,20647 ,22816 ,25962 ,26463 ,29645 ,37297 ,27630 ,54090 ,20509 ,38559 ,19855 ,22564 ,21568 ,18059 ,21335 ,17112 ,10318 ,11460 ,89,3562 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경원선,1014,청량리(서울시립대입구),1194 ,21,4944 ,1213 ,6802 ,8982 ,23183 ,11443 ,34936 ,19211 ,18907 ,24286 ,24386 ,25594 ,18929 ,25819 ,23087 ,24650 ,28637 ,26968 ,23114 ,28245 ,29061 ,29508 ,29897 ,28625 ,26364 ,27253 ,31844 ,40876 ,18054 ,28366 ,22486 ,15056 ,12376 ,15229 ,7425 ,8838 ,2733 ,6602 ,19,761,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경원선,1016,외대앞,435,21,4147 ,1387 ,6849 ,3420 ,16383 ,3370 ,20392 ,16462 ,12856 ,8134 ,10276 ,12555 ,10852 ,10294 ,12649 ,12263 ,12934 ,10021 ,13174 ,13111 ,14857 ,11702 ,15561 ,14354 ,18764 ,16987 ,14754 ,22626 ,10071 ,17559 ,7095 ,11157 ,7073 ,11040 ,6374 ,10825 ,2478 ,9000 ,75,1534 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경원선,1017,신이문,1328 ,0,8091 ,1016 ,12867 ,2147 ,32176 ,3997 ,34120 ,7317 ,18608 ,4355 ,12865 ,5195 ,10991 ,5971 ,11330 ,7748 ,11266 ,8035 ,9262 ,8950 ,8968 ,12664 ,8393 ,14920 ,8171 ,18628 ,7715 ,28955 ,5017 ,22137 ,3015 ,13387 ,2322 ,10983 ,1765 ,10459 ,748,6737 ,36,1044 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경원선,1018,석계,1069 ,10,5392 ,1396 ,9944 ,3489 ,22225 ,5206 ,25448 ,7867 ,16325 ,6407 ,13060 ,6440 ,12091 ,8191 ,12679 ,9136 ,11993 ,10472 ,10567 ,11577 ,10651 ,14734 ,11007 ,19008 ,11088 ,22490 ,10400 ,34894 ,7361 ,23772 ,5664 ,14195 ,5425 ,12463 ,4631 ,10246 ,2082 ,7047 ,46,1382 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경원선,1019,광운대,1682 ,9,5300 ,1028 ,11120 ,2076 ,26776 ,5919 ,23470 ,18538 ,13359 ,10483 ,10415 ,9737 ,11050 ,13110 ,11480 ,10750 ,12553 ,11808 ,12430 ,13498 ,13385 ,12412 ,15423 ,14003 ,15416 ,15901 ,13373 ,23391 ,9124 ,18594 ,5781 ,11416 ,5672 ,9638 ,5065 ,8562 ,1892 ,8769 ,67,3440 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경원선,1020,월계,804,13,4718 ,1023 ,8477 ,2030 ,22424 ,8694 ,20395 ,11509 ,12435 ,14495 ,10184 ,6744 ,9876 ,6327 ,13926 ,7932 ,11767 ,12131 ,9819 ,8880 ,11708 ,9120 ,16401 ,12221 ,14726 ,13546 ,10677 ,20971 ,5085 ,16369 ,3471 ,8607 ,3256 ,7579 ,2265 ,6602 ,858,4697 ,44,844,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경원선,1021,녹천,1109 ,45,3693 ,597,7013 ,1167 ,18534 ,4201 ,16664 ,5355 ,9669 ,2447 ,6976 ,2842 ,6213 ,3135 ,7578 ,4208 ,5840 ,4345 ,4931 ,4215 ,4974 ,5339 ,7257 ,7026 ,5116 ,8006 ,4483 ,13846 ,3270 ,10997 ,1624 ,6397 ,1504 ,6020 ,1124 ,4731 ,324,3576 ,29,647,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경원선,1022,창동,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경원선,1901,방학,690,4,10245 ,1594 ,13319 ,4472 ,29875 ,9304 ,27262 ,18583 ,17550 ,9087 ,14684 ,9868 ,13481 ,9103 ,14714 ,10852 ,13607 ,10717 ,12366 ,12598 ,12512 ,15639 ,13249 ,18449 ,13475 ,21010 ,16667 ,26873 ,8741 ,24318 ,5590 ,12568 ,4750 ,10915 ,3288 ,9814 ,1415 ,6024 ,71,2042 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경원선,1902,도봉,265,5,6501 ,1210 ,8699 ,2979 ,17498 ,3311 ,16339 ,9345 ,10849 ,6134 ,9273 ,6639 ,8863 ,6025 ,8890 ,6893 ,8870 ,7444 ,8491 ,8400 ,8527 ,9324 ,8544 ,10691 ,8979 ,11902 ,9249 ,14652 ,4120 ,13908 ,2558 ,8254 ,2112 ,6163 ,1535 ,6197 ,639,3787 ,47,1160 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경원선,1903,도봉산,171,4,5706 ,952,8367 ,1921 ,18702 ,3394 ,18136 ,6677 ,12183 ,10333 ,10069 ,14198 ,10492 ,12906 ,12600 ,14377 ,15629 ,11553 ,19278 ,9658 ,20048 ,9299 ,20257 ,8563 ,16267 ,8030 ,12118 ,9109 ,6852 ,7574 ,3585 ,4704 ,2486 ,3702 ,1803 ,3596 ,633,2702 ,66,918,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경원선,1904,망월사,309,3,7156 ,1003 ,11474 ,3009 ,25332 ,4449 ,25393 ,11050 ,14596 ,7717 ,11383 ,6678 ,11525 ,7252 ,10834 ,9611 ,10934 ,8870 ,9872 ,10066 ,9588 ,11373 ,10910 ,13721 ,11156 ,17422 ,9222 ,23653 ,4537 ,21315 ,3196 ,13087 ,2969 ,10074 ,2203 ,9339 ,784,6287 ,88,1708 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경원선,1905,회룡,948,13,13229 ,1694 ,23425 ,4869 ,50589 ,7380 ,42386 ,11219 ,25009 ,9806 ,20258 ,10216 ,20071 ,10741 ,18781 ,13648 ,17007 ,13886 ,14464 ,16035 ,13424 ,18481 ,12633 ,23640 ,12365 ,30188 ,10803 ,39367 ,6449 ,39114 ,4739 ,20964 ,4234 ,17085 ,3138 ,13876 ,1158 ,8241 ,127,3067 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경원선,1906,의정부,2129 ,21,9304 ,2105 ,20937 ,6442 ,44279 ,12343 ,40724 ,33772 ,24221 ,31860 ,20630 ,23588 ,23355 ,24420 ,25566 ,27705 ,25730 ,30532 ,26164 ,29361 ,27662 ,27340 ,31234 ,33072 ,35389 ,38240 ,40186 ,50070 ,24274 ,45217 ,22576 ,26520 ,16656 ,19778 ,14223 ,16373 ,6424 ,10657 ,316,6105 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,경원선,1907,가능,486,2,7085 ,1534 ,10612 ,3302 ,22640 ,6314 ,19869 ,13869 ,10956 ,6723 ,10171 ,5175 ,9471 ,6511 ,9700 ,6916 ,9015 ,7670 ,7961 ,6292 ,8006 ,8054 ,10072 ,11442 ,11068 ,13210 ,8706 ,18768 ,5235 ,17361 ,3983 ,11059 ,3533 ,7671 ,2440 ,7393 ,923,4373 ,88,2253 ,0,0,0,0,0,0,2022-04-03 09:20:04
