0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
행정구역,2022년03월_계_총인구수,2022년03월_계_연령구간인구수,2022년03월_계_0~9세,2022년03월_계_10~19세,2022년03월_계_20~29세,2022년03월_계_30~39세,2022년03월_계_40~49세,2022년03월_계_50~59세,2022년03월_계_60~69세,2022년03월_계_70~79세,2022년03월_계_80~89세,2022년03월_계_90~99세,2022년03월_계_100세 이상,2022년03월_남_총인구수,2022년03월_남_연령구간인구수,2022년03월_남_0~9세,2022년03월_남_10~19세,2022년03월_남_20~29세,2022년03월_남_30~39세,2022년03월_남_40~49세,2022년03월_남_50~59세,2022년03월_남_60~69세,2022년03월_남_70~79세,2022년03월_남_80~89세,2022년03월_남_90~99세,2022년03월_남_100세 이상,2022년03월_여_총인구수,2022년03월_여_연령구간인구수,2022년03월_여_0~9세,2022년03월_여_10~19세,2022년03월_여_20~29세,2022년03월_여_30~39세,2022년03월_여_40~49세,2022년03월_여_50~59세,2022년03월_여_60~69세,2022년03월_여_70~79세,2022년03월_여_80~89세,2022년03월_여_90~99세,2022년03월_여_100세 이상
서울특별시 은평구 (1138000000),472259 ,472259 ,27055 ,36935 ,64742 ,66461 ,73698 ,77341 ,67455 ,38627 ,17727 ,2147 ,71 ,225640 ,225640 ,13877 ,18907 ,30799 ,32594 ,36459 ,37256 ,31153 ,16798 ,7179 ,604 ,14 ,246619 ,246619 ,13178 ,18028 ,33943 ,33867 ,37239 ,40085 ,36302 ,21829 ,10548 ,1543 ,57 
서울특별시 서대문구 (1141000000),305866 ,305866 ,18654 ,22707 ,49047 ,44189 ,45232 ,48852 ,40045 ,23286 ,12199 ,1580 ,75 ,145958 ,145958 ,9475 ,11323 ,23180 ,21838 ,22299 ,23807 ,18939 ,9919 ,4735 ,426 ,17 ,159908 ,159908 ,9179 ,11384 ,25867 ,22351 ,22933 ,25045 ,21106 ,13367 ,7464 ,1154 ,58 
서울특별시 마포구 (1144000000),368331 ,368331 ,23041 ,27754 ,61426 ,63038 ,59463 ,55226 ,41387 ,23418 ,11830 ,1677 ,71 ,173073 ,173073 ,11783 ,13994 ,27395 ,29746 ,28814 ,27069 ,19301 ,9885 ,4589 ,477 ,20 ,195258 ,195258 ,11258 ,13760 ,34031 ,33292 ,30649 ,28157 ,22086 ,13533 ,7241 ,1200 ,51 
서울특별시 양천구 (1147000000),446182 ,446182 ,29047 ,49044 ,56764 ,55206 ,75997 ,76090 ,60875 ,29704 ,11642 ,1759 ,54 ,218554 ,218554 ,14925 ,25603 ,28747 ,27311 ,36290 ,37848 ,29073 ,14002 ,4320 ,424 ,11 ,227628 ,227628 ,14122 ,23441 ,28017 ,27895 ,39707 ,38242 ,31802 ,15702 ,7322 ,1335 ,43 
서울특별시 강서구 (1150000000),573046 ,573046 ,35720 ,43188 ,85174 ,97561 ,89104 ,84017 ,79624 ,39986 ,16023 ,2560 ,89 ,275422 ,275422 ,18151 ,22113 ,38861 ,49065 ,44746 ,40508 ,36754 ,18720 ,5902 ,583 ,19 ,297624 ,297624 ,17569 ,21075 ,46313 ,48496 ,44358 ,43509 ,42870 ,21266 ,10121 ,1977 ,70 
서울특별시 구로구 (1153000000),396017 ,396017 ,25255 ,29013 ,53660 ,60700 ,60998 ,62188 ,57586 ,32311 ,12691 ,1572 ,43 ,195002 ,195002 ,12919 ,14878 ,26138 ,31007 ,31187 ,30843 ,27166 ,15260 ,5204 ,388 ,12 ,201015 ,201015 ,12336 ,14135 ,27522 ,29693 ,29811 ,31345 ,30420 ,17051 ,7487 ,1184 ,31 
서울특별시 금천구 (1154500000),231098 ,231098 ,11379 ,13817 ,37239 ,36793 ,31535 ,39101 ,34902 ,18159 ,7250 ,890 ,33 ,116568 ,116568 ,5866 ,6999 ,18246 ,20304 ,16686 ,19627 ,17164 ,8511 ,2940 ,218 ,7 ,114530 ,114530 ,5513 ,6818 ,18993 ,16489 ,14849 ,19474 ,17738 ,9648 ,4310 ,672 ,26 
서울특별시 영등포구 (1156000000),376740 ,376740 ,24226 ,23651 ,58654 ,69346 ,55371 ,56181 ,48323 ,27065 ,12295 ,1575 ,53 ,185696 ,185696 ,12430 ,12282 ,27022 ,35405 ,28475 ,28682 ,23487 ,12432 ,5028 ,437 ,16 ,191044 ,191044 ,11796 ,11369 ,31632 ,33941 ,26896 ,27499 ,24836 ,14633 ,7267 ,1138 ,37 
서울특별시 동작구 (1159000000),386017 ,386017 ,22497 ,27305 ,64975 ,60599 ,57143 ,58127 ,50592 ,29852 ,13035 ,1796 ,96 ,186648 ,186648 ,11505 ,13984 ,31308 ,30665 ,28615 ,28128 ,23374 ,13193 ,5365 ,492 ,19 ,199369 ,199369 ,10992 ,13321 ,33667 ,29934 ,28528 ,29999 ,27218 ,16659 ,7670 ,1304 ,77 
서울특별시 관악구 (1162000000),486375 ,486375 ,19261 ,27211 ,109048 ,85509 ,65188 ,66811 ,59999 ,36808 ,14779 ,1690 ,71 ,244409 ,244409 ,9914 ,13895 ,52990 ,47402 ,34858 ,33972 ,27974 ,16777 ,6201 ,412 ,14 ,241966 ,241966 ,9347 ,13316 ,56058 ,38107 ,30330 ,32839 ,32025 ,20031 ,8578 ,1278 ,57 
